Date,EUR1M BGN Curncy
2015-09-25,1.120018
2015-09-28,1.124905
2015-09-29,1.125428
2015-09-30,1.118216
2015-10-01,1.120015
2015-10-02,1.12209
2015-10-05,1.119316
2015-10-06,1.12771
2015-10-07,1.124193
2015-10-08,1.128088
2015-10-09,1.136284
2015-10-12,1.136322
2015-10-13,1.138412
2015-10-14,1.147884
2015-10-15,1.139082
2015-10-16,1.135291
2015-10-19,1.133228
2015-10-20,1.135107
2015-10-21,1.134387
2015-10-22,1.111406
2015-10-23,1.102284
2015-10-26,1.10628
2015-10-27,1.105553
2015-10-28,1.092735
2015-10-29,1.098125
2015-10-30,1.101009
2015-11-02,1.102024
2015-11-03,1.096861
2015-11-04,1.087043
2015-11-05,1.088823
2015-11-06,1.074514
2015-11-09,1.07565
2015-11-10,1.07285
2015-11-11,1.074734
2015-11-12,1.081818
2015-11-13,1.077726
2015-11-16,1.069045
2015-11-17,1.064705
2015-11-18,1.06652
2015-11-19,1.073921
2015-11-20,1.065153
2015-11-23,1.06428
2015-11-24,1.06494
2015-11-25,1.063031
2015-11-26,1.0617
2015-11-27,1.060489
2015-11-30,1.057665
2015-12-01,1.06442
2015-12-02,1.0626
2015-12-03,1.094976
2015-12-04,1.089048
2015-12-07,1.08473
2015-12-08,1.09022
2015-12-09,1.103537
2015-12-10,1.095195
2015-12-11,1.099753
2015-12-14,1.100478
2015-12-15,1.094412
2015-12-16,1.092486
2015-12-17,1.08378
2015-12-18,1.087943
2015-12-21,1.092707
2015-12-22,1.096964
2015-12-23,1.092269
2015-12-24,1.097358
2015-12-25,1.097078
2015-12-28,1.097835
2015-12-29,1.092845
2015-12-30,1.094119
2015-12-31,1.087023
2016-01-01,1.08643
2016-01-04,1.083968
2016-01-05,1.075635
2016-01-06,1.078915
2016-01-07,1.094022
2016-01-08,1.093015
2016-01-11,1.086805
2016-01-12,1.086689
2016-01-13,1.088561
2016-01-14,1.087338
2016-01-15,1.092428
2016-01-18,1.090079
2016-01-19,1.091657
2016-01-20,1.089818
2016-01-21,1.0882
2016-01-22,1.080391
2016-01-25,1.085741
2016-01-26,1.08781
2016-01-27,1.090089
2016-01-28,1.094734
2016-01-29,1.083838
2016-02-01,1.089548
2016-02-02,1.092648
2016-02-03,1.111307
2016-02-04,1.121655
2016-02-05,1.116565
2016-02-08,1.120085
2016-02-09,1.130097
2016-02-10,1.130053
2016-02-11,1.133104
2016-02-12,1.126394
2016-02-15,1.116376
2016-02-16,1.115207
2016-02-17,1.113669
2016-02-18,1.111511
2016-02-19,1.113818
2016-02-22,1.103825
2016-02-23,1.102963
2016-02-24,1.102213
2016-02-25,1.1027
2016-02-26,1.094363
2016-02-29,1.088352
2016-03-01,1.087841
2016-03-02,1.087828
2016-03-03,1.096746
2016-03-04,1.101562
2016-03-07,1.102532
2016-03-08,1.102177
2016-03-09,1.100949
2016-03-10,1.118716
2016-03-11,1.116635
2016-03-14,1.111421
2016-03-15,1.111979
2016-03-16,1.123455
2016-03-17,1.132835
2016-03-18,1.128033
2016-03-21,1.125205
2016-03-22,1.122766
2016-03-23,1.119108
2016-03-24,1.118394
2016-03-25,1.117695
2016-03-28,1.120597
2016-03-29,1.130103
2016-03-30,1.134814
2016-03-31,1.139014
2016-04-01,1.14011
2016-04-04,1.140098
2016-04-05,1.139456
2016-04-06,1.140918
2016-04-07,1.13877
2016-04-08,1.140874
2016-04-11,1.141778
2016-04-12,1.13967
2016-04-13,1.128419
2016-04-14,1.12777
2016-04-15,1.129369
2016-04-18,1.132275
2016-04-19,1.136847
2016-04-20,1.130722
2016-04-21,1.129784
2016-04-22,1.123171
2016-04-25,1.127777
2016-04-26,1.130771
2016-04-27,1.133229
2016-04-28,1.136202
2016-04-29,1.146115
2016-05-02,1.154491
2016-05-03,1.15067
2016-05-04,1.149747
2016-05-05,1.141541
2016-05-06,1.14144
2016-05-09,1.139404
2016-05-10,1.138255
2016-05-11,1.143608
2016-05-12,1.138708
2016-05-13,1.131912
2016-05-16,1.133169
2016-05-17,1.132333
2016-05-18,1.122604
2016-05-19,1.121301
2016-05-20,1.123402
2016-05-23,1.123083
2016-05-24,1.115158
2016-05-25,1.116515
2016-05-26,1.12042
2016-05-27,1.112543
2016-05-30,1.114935
2016-05-31,1.114482
2016-06-01,1.120076
